ticker,ps_raw_mean,ps_raw_std,ps_raw_min,ps_raw_max,hist_phi_mean,hist_V_mean,phi_calibration,n_obs
MSFT,14.9086,7.146,0.0267,30.0504,0.1171,287.29,0.3777,87
AMZN,12.7257,11.5792,0.8718,54.9978,0.0722,595.95,0.2532,87
CRM,5.4893,5.3702,0.2029,22.0,0.1282,189.07,0.5235,87
SNOW,16.9842,18.6503,1.3666,71.4701,0.1636,222.36,0.5276,66
DDOG,38.3714,25.7571,6.52,116.375,0.1124,1039.54,0.511,87
TWLO,3.526,1.6309,0.9785,8.1153,0.3701,95.75,0.9028,87
BABA,379.8376,103.2289,367.9411,391.7341,0.5704,1829.0,0.4,2
GTLB,9.9893,5.3138,4.7447,15.7692,0.0513,615.0,0.511,4
MNDY,4.0,6.1471,3.2451,4.7549,0.0762,92.0,0.511,2
