month,ps_raw,ps_own_z,V,phi,H,entropy_gap
2021-06,4.0,-1.0561,39,0.1026,0.0,1.0
2021-07,13.0,0.4103,131,0.0992,0.0,1.0
2021-08,26.0,2.5285,253,0.1028,0.0,1.0
2021-09,29.0,3.0173,282,0.1028,0.0,1.0
2021-10,22.0,1.8767,311,0.0707,0.0,1.0
2021-11,10.0,-0.0785,245,0.0408,0.0,1.0
2021-12,5.0,-0.8932,237,0.0211,0.0,1.0
2022-01,10.0,-0.0785,206,0.0485,0.0,1.0
2022-02,15.0,0.7362,263,0.057,0.0,1.0
2022-03,20.0,1.5509,272,0.0735,0.0,1.0
2022-04,14.0,0.5733,219,0.0639,0.0,1.0
2022-05,8.0,-0.4043,124,0.0645,0.0,1.0
2022-06,4.0,-1.0561,122,0.0328,0.0,1.0
2022-07,4.0,-1.0561,143,0.028,0.0,1.0
2022-08,5.0,-0.8932,153,0.0327,0.0,1.0
2022-09,7.0,-0.5673,159,0.044,0.0,1.0
2022-10,4.0499,-1.048,139,0.0432,0.325,0.675
2022-11,4.0499,-1.048,197,0.0305,0.325,0.675
2022-12,1.6226,-1.4435,202,0.0297,0.7296,0.2704
2023-01,3.9791,-1.0595,216,0.0324,0.4316,0.5684
2023-02,5.5935,-0.7965,206,0.0485,0.4406,0.5594
2023-03,5.1452,-0.8695,223,0.0448,0.4855,0.5145
2023-04,4.7549,-0.9331,205,0.039,0.4056,0.5944
2023-05,4.0,-1.0561,221,0.0181,0.0,1.0
2023-06,1.5517,-1.455,221,0.0317,0.7783,0.2217
2023-07,4.963,-0.8992,265,0.0566,0.6691,0.3309
2023-08,8.0342,-0.3988,309,0.0777,0.6652,0.3348
2023-09,12.2807,0.2931,300,0.0767,0.4661,0.5339
2023-10,12.1498,0.2718,306,0.0588,0.325,0.675
2023-11,7.2378,-0.5285,264,0.0417,0.342,0.658
2023-12,5.5935,-0.7965,268,0.0373,0.4406,0.5594
2024-01,7.418,-0.4992,226,0.0619,0.4701,0.5299
2024-02,5.7989,-0.763,206,0.0534,0.4728,0.5272
2024-03,7.9342,-0.4151,167,0.0778,0.3897,0.6103
2024-04,11.0,0.0845,147,0.0748,0.0,1.0
2024-05,21.0,1.7138,141,0.1489,0.0,1.0
2024-06,15.2141,0.7711,139,0.1295,0.1548,0.8452
2024-07,12.3498,0.3044,177,0.0847,0.1767,0.8233
2024-08,10.4569,-0.004,259,0.0502,0.1956,0.8044
2024-09,10.7512,0.0439,279,0.0538,0.2833,0.7167
2024-10,8.974,-0.2456,285,0.0456,0.3097,0.6903
2024-11,4.7549,-0.9331,251,0.0319,0.4056,0.5944
2024-12,9.5171,-0.1572,280,0.0429,0.2069,0.7931
2025-01,12.3498,0.3044,234,0.0641,0.1767,0.8233
2025-02,12.3498,0.3044,187,0.0802,0.1767,0.8233
2025-03,14.0,0.5733,150,0.0933,0.0,1.0
2025-04,10.7512,0.0439,160,0.0938,0.2833,0.7167
2025-05,19.2927,1.4356,184,0.1413,0.258,0.742
2025-06,18.383,1.2874,171,0.1462,0.2647,0.7353
2025-07,20.206,1.5844,200,0.135,0.2516,0.7484
2025-08,16.5758,0.993,187,0.123,0.2793,0.7207
2025-09,17.6414,1.1666,216,0.1528,0.4654,0.5346
2025-10,15.4309,0.8064,183,0.1803,0.5324,0.4676
2025-11,12.4495,0.3206,169,0.1775,0.585,0.415
2025-12,9.0803,-0.2283,140,0.1286,0.4955,0.5045
2026-01,6.752,-0.6077,110,0.1182,0.4806,0.5194
2026-02,7.418,-0.4992,95,0.1474,0.4701,0.5299
2026-03,9.0803,-0.2283,88,0.2045,0.4955,0.5045
2026-05,4.7549,-0.9184,91,0.0879,0.4056,0.5944
