label,beta_raw,pval_raw,r2_raw,beta_full,pval_full,r2_full,n_full,signal_retained,commercial_bar
1M forward,-0.02248959445661874,0.3455074332971857,0.016194776194278893,-0.041692586655379296,0.11043527516630544,0.22951376512485955,53,185.38612039359862,fail
3M forward,-0.041976857972867924,0.304348655705777,0.019894256761377127,-0.09215141127846913,0.024114000896890687,0.4097115894568448,51,219.52908275800903,fail
6M forward,-0.06913142670349719,0.1567198665139502,0.0397039037163498,-0.07896588806212204,0.09248187975508719,0.4676156071649352,48,114.22574627427349,fail
Low VIX - 1M,0.061992193469676556,0.25856361973290887,0.03436179862159028,0.008883419399060573,0.9291189788537279,0.2481697564514861,36,14.329900108157801,fail
Low VIX - 3M,0.13586171628505117,0.13353204800327229,0.06315090647713184,-0.06261767079494843,0.7034222006955422,0.26313067472865626,34,-46.08926819647297,fail
Low VIX - 6M,0.005861949488187187,0.9578555118797929,8.863823639337909e-05,0.009720320976525781,0.9637977797271591,0.3261507775069078,31,165.82061984863333,fail
High VIX - 1M,-0.0471153798338425,0.14042012967237433,0.13072063583220261,-0.07421456713047812,0.06465797698737707,0.46641718180754965,17,157.51664826263493,fail
High VIX - 3M,-0.06681180742999318,0.24192575605864985,0.08449332489430439,-0.03622998872281898,0.40482749646102034,0.7547860068812544,17,54.2269250248641,fail
High VIX - 6M,-0.07033842201050701,0.31485850782464786,0.06305251512265797,-0.03542032238897522,0.3523662994271337,0.857128375111188,17,50.357004573807764,fail
