label,beta_raw,pval_raw,r2_raw,beta_full,pval_full,r2_full,n_full,signal_retained,pos_bar,neg_bar,commercial_bar
1M forward,-0.0057,0.7636,0.0016,-0.0014,0.9413,0.2265,56,23.9,False,False,fail
3M forward,-0.0241,0.4684,0.0094,-0.0099,0.726,0.4229,54,41.1,False,False,fail
6M forward,0.0145,0.8405,0.0008,0.0264,0.6162,0.5352,51,181.8,False,False,fail
Low VIX - 1M,-0.0061,0.7543,0.0025,0.0042,0.8252,0.2782,37,-67.9,False,False,fail
Low VIX - 3M,-0.0258,0.4394,0.0158,-0.0058,0.8542,0.3282,36,22.4,False,False,fail
Low VIX - 6M,0.0043,0.9517,0.0001,0.0228,0.713,0.3592,33,529.8,False,False,fail
High VIX - 1M,0.026,0.8283,0.0028,-0.0847,0.5374,0.2409,19,-326.2,False,False,fail
High VIX - 3M,0.0263,0.9318,0.0005,-0.2048,0.4164,0.635,18,-778.5,False,False,fail
High VIX - 6M,0.265,0.5235,0.0259,0.4389,0.1482,0.8459,18,165.6,False,False,fail
