label,beta_ps,p_ps,beta_interact,p_interact,total_signal,r2,n
1M forward,-0.0019445118343449368,0.7667542128613628,0.014891609936570183,0.10422269799298198,0.012947098102225246,0.01904964549333088,501
3M forward,-0.011763446184716399,0.3763339859397834,0.03993057420739334,0.02069895423091305,0.028167128022676943,0.03686261848811068,489
6M forward,-0.01426667460046642,0.4308734332909332,0.06933160010612563,0.0029713804973260224,0.05506492550565921,0.06438005183596851,471
Low VIX — 1M,-0.004879507576541053,0.486956110755815,0.006828531199133355,0.42208892251834684,0.0019490236225923026,0.026955531657301135,317
Low VIX — 3M,-0.02850297847576497,0.042335644894672037,0.03388786809671016,0.07511737433241895,0.0053848896209451914,0.04361894420781709,311
Low VIX — 6M,-0.04303415962633406,0.034578315447208005,0.07295062784073074,0.0057320779077202014,0.029916468214396676,0.0663438041336184,293
High VIX — 1M,0.0032020144489590093,0.8616232524346026,0.037634797352650615,0.1359844522820235,0.04083681180160963,0.06383369552124063,184
High VIX — 3M,0.04886119096478255,0.13442574774153115,0.03259916500787438,0.42108696593552286,0.08146035597265694,0.10379238258552281,178
High VIX — 6M,0.09411557715677271,0.0383494087698086,0.019019435661555797,0.7284305089731499,0.11313501281832851,0.12532506654102393,178
