name,fork,archived,stars,size,pushed_at
snowflakedb/dplyr-snowflakedb,False,False,66,59,2022-03-23T22:33:43Z
snowflakedb/spark-snowflake,False,False,230,31826,2026-04-10T21:53:53Z
snowflakedb/snowflake-sqlalchemy,False,False,264,1643,2026-04-01T11:10:29Z
snowflakedb/snowflake-connector-python,False,False,718,35151,2026-04-10T18:38:41Z
snowflakedb/snowflake-jdbc,False,False,201,72959,2026-04-10T12:54:33Z
snowflakedb/gosnowflake,False,False,356,21552,2026-04-09T09:02:43Z
snowflakedb/snowflake-ingest-python,False,False,68,212,2025-10-22T21:58:07Z
snowflakedb/snowflake-ingest-java,False,False,81,50377,2026-04-08T23:43:37Z
snowflakedb/pdo_snowflake,False,False,75,1642016,2026-03-18T09:33:18Z
snowflakedb/snowflake-common,False,False,4,5,2021-03-12T17:24:18Z
snowflakedb/snowflake-connector-net,False,False,198,11114,2026-04-10T12:20:31Z
snowflakedb/snowflake-connector-nodejs,False,False,141,219693,2026-04-08T09:16:38Z
snowflakedb/libsnowflakeclient,False,False,37,1537559,2026-04-11T03:08:20Z
snowflakedb/SnowAlert,False,False,184,130447,2025-12-04T14:26:17Z
snowflakedb/snowflake-hive-metastore-connector,False,False,13,368,2025-08-25T23:17:58Z
snowflakedb/terraform-provider-snowflake,False,False,673,60822,2026-04-12T11:35:41Z
snowflakedb/snowflake-kafka-connector,False,False,168,150490,2026-04-11T17:40:51Z
snowflakedb/snowpark-python,False,False,331,98339,2026-04-12T06:21:33Z
snowflakedb/snowflake-s3compat-api-test-suite,False,False,19,196,2025-05-02T01:53:16Z
snowflakedb/reusable-workflows,False,False,2,39,2026-03-31T23:40:26Z
snowflakedb/snowflake-cli,False,False,245,74150,2026-04-10T20:44:26Z
snowflakedb/snowflake-telemetry-python,False,False,15,233,2026-04-08T22:32:53Z
snowflakedb/snowpark-java-scala,False,False,23,1632,2026-04-09T16:44:44Z
snowflakedb/snowflake-ml-python,False,False,61,55189,2026-04-08T18:24:37Z
snowflakedb/CLA,False,False,1,15,2024-07-27T01:30:24Z
snowflakedb/homebrew-snowflake-cli,False,False,2,111,2025-12-12T09:30:05Z
snowflakedb/connectors-native-sdk,False,False,27,4375,2025-08-26T08:11:06Z
snowflakedb/native-apps-templates,False,False,7,98,2024-09-25T04:07:50Z
snowflakedb/snowflake-rest-api-specs,False,False,22,1379,2026-04-02T21:12:38Z
snowflakedb/snowflake-telemetry-dashboard-templates,False,False,2,2059,2024-05-29T22:51:14Z
snowflakedb/snowflake-cli-action,False,False,52,130,2026-04-08T14:28:33Z
snowflakedb/native-apps-permission-sdk-stub,False,False,0,27,2026-03-05T16:40:37Z
snowflakedb/snowflake-ado-extension,False,False,4,121,2026-03-25T14:48:06Z
snowflakedb/snowflake-jenkins-plugin,False,False,0,88,2025-02-19T23:34:45Z
snowflakedb/native-apps-examples,False,False,56,645,2025-11-26T02:45:19Z
snowflakedb/snowflake-cli-templates,False,False,19,86,2026-03-19T11:27:54Z
snowflakedb/qgis-snowflake-connector,False,False,9,24455,2026-03-24T18:12:59Z
snowflakedb/snowpark-checkpoints,False,False,6,16113,2026-03-11T19:12:30Z
snowflakedb/ArcticTraining,False,False,281,19291,2026-04-10T20:04:47Z
snowflakedb/floe,False,False,7,110412,2026-03-04T13:38:06Z
snowflakedb/ArcticInference,False,False,421,3996,2026-03-28T17:52:01Z
snowflakedb/universal-driver,False,False,9,39728,2026-04-11T13:02:25Z
snowflakedb/snowpipe-streaming-sdk-examples,False,False,3,35647,2026-04-11T00:32:36Z
snowflakedb/homebrew-snowconvert-ai,False,False,2,303,2026-04-11T17:04:21Z
snowflakedb/snowflake-cursor-plugin,False,False,5,7,2026-02-17T17:43:23Z
