label,beta_org,beta_sel,pval,r2,n
1M forward,-0.012629367714867626,0.0015,0.4863530627509558,0.0057181989158545665,87
3M forward,-0.059421981912540486,-0.0646,0.11929547648462333,0.028983390192432235,85
6M forward,-0.061478894108123135,-0.1125,0.2843079595356641,0.014316033035429054,82
Low VIX - 1M,-0.020150830794562237,0.0103,0.2191071607832754,0.028354185772146545,55
Low VIX - 3M,-0.08448473350666115,-0.0191,0.0009841981777243484,0.19004035535649189,54
Low VIX - 6M,-0.08871216680927813,-0.0659,0.10767196615879981,0.05195834315662129,51
High VIX - 1M,0.024299745120692072,-0.0167,0.6976407426252933,0.005102702013581539,32
High VIX - 3M,0.02747453423156089,-0.1887,0.8652001081076655,0.001010487574619745,31
High VIX - 6M,0.10422726733492219,-0.2164,0.6000134035233875,0.009600270387256415,31
